Name,value
Lee Kun-hee, 16.8
Seo Jung-jin, 7.4
Kim Jung-ju, 6.3
Jay Y.Lee, 6.1
Chung Mong-koo, 4.3
Suh Kyung-bae, 3.5
Park Yeon-cha, 3.2
Kwon Hyuk-bin, 2.9
Chey Tae-won, 2.8
Kim Beom-su, 2.7
Chung Eui-sun, 2.67	
Lim Sung-ki, 2.5
Bang Jun-hyuk, 2.25
Shin Chang-jae,	2.05
Kim Sang-yeol, 1.8
Lee Ho-jin,	1.78
Koo Kwang-mo, 1.75
Kim Taek-jin, 1.7	
Lee Joong-keun,	1.66
Park Hyeon-joo,	1.61
Lee Boo-jin, 1.6
Kim Jun-ki, 1.53
Michael Kim, 1.5	
Lee Seo-hyun, 1.48
Cho Jung-ho, 1.45
Lee Jay-hyun, 1.43
Chang Pyung-soon, 1.35	
Kim Nam-jung, 1.3
Hur Young-in, 1.2
Kim Jung-woong, 1.15

